"Vospitateli","463"
"Starshie vospitateli","32"
"Muzykal'nye rukovoditeli","41"
"Instruktory po fizicheskoj kul'ture","23"
"Uchitelja logopedy","40"
"Uchitelja defektologi","1"
"Pedagogi-psihologi","16"
"Social'nye pedagogi","0"
"Pedagogi-organizatory","0"
"Pedagogi dopolnitel'nogo obrazovanija","11"
"Drugie pedagogicheskie rabotniki","17"
